Origin,   Shake,    Average,    Moving,     IIR
132840,  132840,  132837,  132836,  132808
132841,  132841,  132837,  132837,  132809
132842,  132842,  132837,  132838,  132810
132843,  132843,  132841,  132839,  132811
132844,  132844,  132841,  132840,  132812
132845,  132845,  132841,  132841,  132813
132846,  132846,  132841,  132842,  132814
132847,  132847,  132845,  132843,  132815
132848,  132848,  132845,  132844,  132816
132849,  132849,  132845,  132845,  132817
132850,  132850,  132845,  132846,  132818
